Alvarez-Gonzalez-2016-p1586-1597 189 11
Aarniovuori-2016-p2005-2015 213 10
Abdel-Khalik-2016-p1331-1343 107 12
Abdel-Khalik-2016-p618-628 115 10
Abdelrahman-2016-p1745-1753 597 8
Abdollahi-2016-p667-677 134 10
Akter-2016-p704-715 203 11
Amini-2016-p2659-2668 187 9
An-2016-p3038-3049 183 11
Antonello-2016-p1953-1961 226 8
Arshadi-2016-p832-839 362 7
Badoni-2016-p3028-3037 252 9
Barrero-2016-p449-458 152 9
Benammar-2016-p2414-2423 116 9
Blanquez-2016-p2548-2558 211 10
Boby-2016-p2757-2765 76 8
Boglietti-2016-p2713-2721 119 8
Bojoi-2016-p641-652 139 11
Bondade-2016-p2850-2861 596 11
Borras-2016-p3117-3124 281 7
Bressel-2016-p2569-2577 183 8
Busquets-Monge-2016-p1344-1349 119 5
Camarena-Martinez-2016-p2369-2378 156 9
Camilleri-2016-p82-91 156 9
Carnielutti-2016-p92-101 292 9
Castillo-2016-p1863-1875 291 12
Cha-2016-p2945-2953 214 8
Chai-2016-p550-561 220 11
Cheema-2016-p2722-2733 123 11
Chen-2016-p1539-1548 147 9
Chen-2016-p1643-1654 547 11
Chen-2016-p1039-1051 266 12
Chen-2016-p1507-1518 148 11
Chen-2016-p178-188 219 10
Chen-2016-p1083-1095 322 12
Chen-2016-p3290-3298 188 8
Cheng-2016-p1062-1070 116 8
Cheng-2016-p2403-2413 125 10
Chirindo-2016-p741-749 161 8
Cho-2016-p1561-1573 357 12
Choi-2016-p3158-3167 97 9
Choudhury-2016-p761-772 244 11
Chung-2016-p3000-3008 139 8
Chung-2016-p302-309 275 7
Citro-2016-p3072-3080 178 8
Corapsiz-2016-p2212-2220 540 8
Cui-2016-p2379-2390 134 11
Dagbagi-2016-p1179-1190 341 11
Dai-2016-p1717-1727 406 10
Dalvand-2016-p364-376 154 12
Dang-2016-p1438-1449 197 11
Darba-2016-p728-740 279 12
Darijevic-2016-p538-549 173 11
Das-2016-p2936-2944 207 8
Debnath-2016-p102-112 208 10
Dekka-2016-p2734-2745 298 11
Deng-2016-p2825-2837 105 12
Do-2016-p2976-2989 427 13
Dominguez-Pumar-2016-p2320-2329 267 9
Dominic-2016-p3252-3260 199 8
Du-2016-p1694-1706 81 12
Du-2016-p3019-3027 183 8
Duan-2016-p1923-1934 167 11
Duran-2016-p459-468 152 9
Duran-2016-p629-640 128 11
Elgenedy-2016-p562-573 172 11
Fang-2016-p2275-2283 94 8
Farivar-2016-p322-331 327 9
Fathi-2016-p691-703 245 12
